client_id,round_number,hierarchy,num_samples,set,accuracy,loss
27236,0,,10,test,0.0,9.191424369812012
39188,0,,26,test,0.0,9.18535582224528
61695,0,,78,test,0.0,9.186113397280375
75163,0,,16,test,0.0,9.185466357639857
29708,0,,64,test,0.0,9.190227335149592
21474,0,,20,test,0.0,8.757799132664998
8326,0,,18,test,0.0,9.184059489857066
24018,0,,6,test,0.0,9.1370849609375
3599,0,,16,test,0.0,9.034135818481445
54570,0,,10,test,0.0,9.171995798746744
43571,0,,6,test,0.0,9.173639297485352
58211,0,,16,test,0.0,8.135974509375435
7289,0,,14,test,0.0,8.115210135777792
65469,0,,12,test,0.0,8.083668518066407
11796,0,,168,test,0.0,9.098747739252055
23794,0,,44,test,0.0,9.178104824490017
35703,0,,24,test,0.0,9.188535516912287
3971,0,,6,test,0.0,5.049797713756561
60345,0,,24,test,0.0,9.184348011016846
39136,0,,50,test,0.0,9.18984486839988
24161,0,,18,test,0.0,9.176602363586426
1497,0,,116,test,0.0,9.183977399553571
79534,0,,14,test,0.0,9.164549350738525
56603,0,,8,test,0.0,9.1748685836792
75800,0,,20,test,0.0,9.179434299468994
15592,0,,8,test,0.0,9.192792701721192
41042,0,,60,test,0.0,9.181598149813139
48432,0,,26,test,0.0,9.180210876464844
61872,0,,480,test,0.0,9.188466707865397
43460,0,,6,test,0.0,9.161401748657227
20371,0,,38,test,0.0,9.187527588435582
16613,0,,6,test,0.0,9.18332815170288
55345,0,,128,test,0.0,9.157963501779657
711,0,,8,test,0.0,9.183279037475586
32715,0,,38,test,0.0,9.189365863800049
74348,0,,24,test,0.0,9.188881778717041
6260,0,,6,test,0.0,9.181244850158691
62308,0,,6,test,0.0,9.182682037353516
2020,0,,6,test,0.0,9.195422649383545
66153,0,,6,test,0.0,9.192627906799316
65304,0,,214,test,0.0,9.185687899589539
11287,0,,6,test,0.0,9.195367813110352
8102,0,,18,test,0.0,9.186700224876404
39295,0,,60,test,0.0,9.185199154747856
43829,0,,428,test,0.0,9.13407024660626
26739,0,,226,test,0.0,9.186220982495476
3588,0,,22,test,0.0,9.189285850524902
75584,0,,6,test,0.0,9.163078943888346
25785,0,,62,test,0.0,9.181517283121744
28343,0,,50,test,0.0,9.177420616149902
57779,0,,8,test,0.0,9.189069366455078
44025,0,,20,test,0.0,9.17466049194336
27726,0,,6,test,0.0,9.185348510742188
11161,0,,18,test,0.0,9.191432215950705
16850,0,,12,test,0.0,9.18459383646647
59083,0,,212,test,0.0,9.1847770439004
71031,0,,8,test,0.0,9.183096408843994
81703,0,,12,test,0.0,8.808869743347168
