client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,acc,loss
10069,0,,12,train,24722496,24722496,278903390,0.04868913857677903,9.179829438527426
11169,0,,158,train,24722496,24722496,2231227120,0.004407385348421679,7.605685945238386
11832,0,,8,train,24722496,24722496,278903390,0.0,9.18284797668457
1204,0,,34,train,24722496,24722496,557806780,0.0,8.92465454339981
12883,0,,62,train,24722496,24722496,1115613560,0.0,9.122751774995223
13390,0,,6,train,24722496,24722496,278903390,0.0,8.24655040105184
13441,0,,8,train,24722496,24722496,278903390,0.0,9.208938598632812
1776,0,,16,train,24722496,24722496,278903390,0.0,9.144914627075195
20430,0,,62,train,24722496,24722496,1115613560,0.0,8.812056912316216
20457,0,,38,train,24722496,24722496,557806780,0.0,9.130947281332578
22802,0,,8,train,24722496,24722496,278903390,0.0,7.7916563749313354
30396,0,,122,train,24722496,24722496,1952323730,0.0,9.002990450177874
31376,0,,12,train,24722496,24722496,278903390,0.05714285714285714,9.159769376118978
31396,0,,14,train,24722496,24722496,278903390,0.03715170278637771,8.25680409158979
31783,0,,74,train,24722496,24722496,1115613560,0.04908306364617044,9.070597267150879
32171,0,,16,train,24722496,24722496,278903390,0.0,9.171051120758056
32417,0,,6,train,24722496,24722496,278903390,0.021739130434782608,9.178413391113281
37401,0,,24,train,24722496,24722496,557806780,0.0,9.17174938746861
39152,0,,12,train,24722496,24722496,278903390,0.030534351145038167,9.180891990661621
39188,0,,26,train,24722496,24722496,557806780,0.0,9.165797551472982
39517,0,,6,train,24722496,24722496,278903390,0.0,9.1765718460083
39863,0,,14,train,24722496,24722496,278903390,0.0038022813688212928,9.181668440500895
41042,0,,60,train,24722496,24722496,836710170,0.0,9.070314700786884
43571,0,,6,train,24722496,24722496,278903390,0.02564102564102564,9.177295684814453
44812,0,,42,train,24722496,24722496,836710170,0.0,9.157475251417894
44829,0,,56,train,24722496,24722496,836710170,0.05778648383937316,9.119407736736795
45186,0,,340,train,24722496,24722496,2789033900,0.021411092985318108,8.018245581154511
45417,0,,66,train,24722496,24722496,1115613560,0.06241872561768531,9.01323484119616
45876,0,,8,train,24722496,24722496,278903390,0.0,9.188627560933432
46303,0,,110,train,24722496,24722496,1673420340,0.0,8.822301375560272
47569,0,,38,train,24722496,24722496,557806780,0.0,9.145318190256754
47632,0,,14,train,24722496,24722496,278903390,0.0,9.182672309875489
49668,0,,10,train,24722496,24722496,278903390,0.0,9.16548760732015
53184,0,,54,train,24722496,24722496,836710170,0.05358686257562662,8.799053258620775
54568,0,,6,train,24722496,24722496,278903390,0.015665796344647518,8.37605795264244
55816,0,,66,train,24722496,24722496,1115613560,0.0,9.079305191040039
56372,0,,24,train,24722496,24722496,557806780,0.0,8.47397756576538
57549,0,,8,train,24722496,24722496,278903390,0.0,8.034783124923706
58211,0,,16,train,24722496,24722496,278903390,0.003205128205128205,8.254258530480522
59059,0,,8,train,24722496,24722496,278903390,0.0,9.197702407836914
60020,0,,40,train,24722496,24722496,557806780,0.0,9.149990439414978
63054,0,,6,train,24722496,24722496,278903390,0.0,8.499970197677612
63595,0,,8,train,24722496,24722496,278903390,0.0,9.187169790267944
63609,0,,30,train,24722496,24722496,557806780,0.0,9.145065716334752
65466,0,,8,train,24722496,24722496,278903390,0.0,9.20056438446045
69365,0,,6,train,24722496,24722496,278903390,0.0,9.173102378845215
72173,0,,6,train,24722496,24722496,278903390,0.0,9.149026870727539
7289,0,,14,train,24722496,24722496,278903390,0.0,9.181719621022543
75640,0,,134,train,24722496,24722496,1952323730,0.06294117647058824,9.003263020515442
78946,0,,74,train,24722496,24722496,1115613560,0.0,9.066400692380707
